1-696F	瘓
1-6741	鈸
1-7951	騖
1-5651	烤
1-5F7A	椎
1-6121	稍
1-6129	童
1-657B	聖
1-634A	嗚
1-6865	徹
1-4A7A	沆
1-7170	縐
1-4548	斤
1-6C3F	墀
2-676E	鞶
1-4435	三
2-6F37	玁
1-5875	假
1-7B4D	鶯
1-4925	低
1-4D59	抿
1-684F	寧
1-5336	范
1-563C	消
2-4153	飫
1-4839	次
4-2D43	敇
1-5F25	彭
1-467A	矢
1-4A5C	杖
1-6533	瑛
3-5764	彝
1-5E72	尋
1-763F	壘
1-6E36	糊
2-695A	繾
2-3F5A	菖
1-4638	史
1-485E	臼
1-713C	燎
2-502B	嶙
1-4541	戈
1-6A51	膏
1-7972	朧
1-682B	嘔
2-4C24	瘌
1-6A77	褂
1-556D	晏
